ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
38329.0,10,0,2011.0,2.53,2.54,2.22,2.84,2.69,2.95,1,0,0,-2.7495627624822534,-0.5730155334239003
67765.0,10,0,2011.0,3.61,3.7,3.51,3.68,3.57,3.13,0,2,2,0.3502680429777432,-0.8473357744586237
85500.0,10,1,2011.0,2.56,3.15,1.72,3.55,2.54,2.27,1,0,0,-2.6394262907472252,-0.5258337906952927
72755.0,10,0,2011.0,2.5,2.67,1.94,3.0,2.69,3.3,1,0,0,-2.643742840377733,-1.100521799641261
54660.0,10,0,2011.0,3.39,3.67,2.94,3.76,3.39,3.13,1,2,2,-0.1932282793644739,-0.6604644240458437
78198.0,10,0,2011.0,2.93,3.04,2.27,3.35,3.48,2.27,1,0,0,-1.7417051629314133,-0.39794858972309277
50420.0,10,0,2011.0,2.6,2.98,2.34,2.58,2.59,2.97,1,0,0,-2.556413125921404,-0.7492608485450932
71972.0,10,0,2011.0,3.74,3.26,3.25,4.41,4.44,3.67,0,2,2,1.0701296326730936,-1.0035284057125118
45568.0,10,0,2011.0,3.87,3.61,3.53,4.29,4.27,3.59,0,1,1,1.343450958831748,-0.7168318387281769
41438.0,10,0,2012.0,2.29,2.46,2.23,2.16,2.24,3.44,1,0,0,-3.3405174588079176,-0.39030245865168717
76075.0,10,1,2014.0,2.32,2.61,1.98,1.77,2.67,2.68,1,0,0,-3.6104785617081174,1.0735855423667569
78063.0,10,0,2011.0,4.25,4.07,4.18,4.59,4.29,3.91,0,1,1,2.5182557735223203,-1.2696375055751252
86041.0,10,0,2011.0,2.28,2.35,2.03,2.23,2.46,2.86,1,0,0,-3.6093720219663417,-1.1313482709327352
25836.0,10,0,2011.0,3.0,2.65,2.92,3.21,3.29,2.95,1,0,0,-1.4612351313595315,-0.3766659548142333
75888.0,10,0,2011.0,3.64,3.2,3.4,4.52,3.77,2.5,0,2,2,0.31011698795813974,-0.4460422613514859
42113.0,10,0,2011.0,4.22,3.89,4.04,4.66,4.49,3.05,0,1,1,2.1347544395391047,-0.3183665078792187
87505.0,10,0,2011.0,3.54,3.41,3.2,4.28,3.61,3.13,0,2,2,0.28097167930012934,-0.969273888424009
41255.0,10,0,2011.0,3.16,3.3,2.59,3.19,3.8,3.75,1,2,2,-0.599886987187484,-0.8795690252551754
38409.0,10,0,2011.0,3.93,3.7,3.65,4.52,4.15,3.44,0,1,1,1.5019010449542083,-0.548012798567416
64152.0,10,0,2011.0,4.25,3.89,4.18,4.62,4.46,3.05,0,1,1,2.19555716948139,-0.5825163226243721
90420.0,10,0,2011.0,4.5,4.39,4.2,4.83,4.76,3.52,0,1,1,3.108598830453799,-1.0545918715174203
60775.0,10,0,2011.0,2.92,3.04,2.55,2.9,3.31,3.75,1,0,0,-1.3468931534143929,-1.2080936646622755
37039.0,10,1,2011.0,3.46,3.26,2.88,4.19,3.98,2.92,1,2,2,0.035145725981164624,-0.22476241203834293
91230.0,10,0,2011.0,4.25,3.48,4.37,4.55,4.76,2.34,0,1,1,1.9160746214332376,-0.45959865135523553
39114.0,10,0,2011.0,3.98,3.26,3.84,4.52,4.53,3.13,0,1,1,1.471548135691944,-0.3599259558488173
62205.0,10,0,2011.0,3.47,3.15,2.72,4.03,4.39,3.52,1,2,2,0.24717817777500237,-0.8061389868916018
71910.0,10,0,2011.0,4.55,4.43,4.53,4.72,4.56,3.83,0,1,1,3.310466166973961,-1.1166620182591003
82394.0,10,1,2012.0,2.18,2.26,1.81,3.39,2.01,2.86,1,0,0,-3.492926816825097,-0.34573708417907967
